date,year,month,day,fips,county,state,lat,long,tmax,tmin
1900-04-29,1900,4,29,6055,Napa County,CA,38.5,-122.49999999965232,21.4384,7.0027
1900-04-30,1900,4,30,6055,Napa County,CA,38.5,-122.49999999965232,21.6338,7.125
1900-05-01,1900,5,1,6055,Napa County,CA,38.5,-122.49999999965232,21.8332,7.251
1900-05-02,1900,5,2,6055,Napa County,CA,38.5,-122.49999999965232,22.036,7.3802
1900-05-03,1900,5,3,6055,Napa County,CA,38.5,-122.49999999965232,22.2419,7.5122
1900-05-04,1900,5,4,6055,Napa County,CA,38.5,-122.49999999965232,22.4503,7.6465
1900-05-05,1900,5,5,6055,Napa County,CA,38.5,-122.49999999965232,22.6606,7.7827
1900-05-06,1900,5,6,6055,Napa County,CA,38.5,-122.49999999965232,22.8724,7.9204
1900-05-07,1900,5,7,6055,Napa County,CA,38.5,-122.49999999965232,23.0851,8.059
1900-05-08,1900,5,8,6055,Napa County,CA,38.5,-122.49999999965232,23.2983,8.1982
1900-05-09,1900,5,9,6055,Napa County,CA,38.5,-122.49999999965232,23.5114,8.3375
1900-05-10,1900,5,10,6055,Napa County,CA,38.5,-122.49999999965232,23.7239,8.4764
1900-05-11,1900,5,11,6055,Napa County,CA,38.5,-122.49999999965232,23.9354,8.6146
1900-05-12,1900,5,12,6055,Napa County,CA,38.5,-122.49999999965232,24.1452,8.7514
1900-05-13,1900,5,13,6055,Napa County,CA,38.5,-122.49999999965232,24.3529,8.8866
1900-05-14,1900,5,14,6055,Napa County,CA,38.5,-122.49999999965232,24.558,9.0196
1900-05-15,1900,5,15,6055,Napa County,CA,38.5,-122.49999999965232,24.76,9.15
1900-05-16,1900,5,16,6055,Napa County,CA,38.5,-122.49999999965232,24.9584,9.2774
1900-05-17,1900,5,17,6055,Napa County,CA,38.5,-122.49999999965232,25.1534,9.4018
1900-05-18,1900,5,18,6055,Napa County,CA,38.5,-122.49999999965232,25.3449,9.5232
1900-05-19,1900,5,19,6055,Napa County,CA,38.5,-122.49999999965232,25.5332,9.6417
1900-05-20,1900,5,20,6055,Napa County,CA,38.5,-122.49999999965232,25.7183,9.7573
1900-05-21,1900,5,21,6055,Napa County,CA,38.5,-122.49999999965232,25.9005,9.8699
1900-05-22,1900,5,22,6055,Napa County,CA,38.5,-122.49999999965232,26.0798,9.9797
1900-05-23,1900,5,23,6055,Napa County,CA,38.5,-122.49999999965232,26.2564,10.0867
1900-05-24,1900,5,24,6055,Napa County,CA,38.5,-122.49999999965232,26.4303,10.191
1900-05-25,1900,5,25,6055,Napa County,CA,38.5,-122.49999999965232,26.6018,10.2924
1900-05-26,1900,5,26,6055,Napa County,CA,38.5,-122.49999999965232,26.7709,10.3912
1900-05-27,1900,5,27,6055,Napa County,CA,38.5,-122.49999999965232,26.9378,10.4873
1900-05-28,1900,5,28,6055,Napa County,CA,38.5,-122.49999999965232,27.1027,10.5807
1900-05-29,1900,5,29,6055,Napa County,CA,38.5,-122.49999999965232,27.2655,10.6716
1900-05-30,1900,5,30,6055,Napa County,CA,38.5,-122.49999999965232,27.4266,10.7598
1900-05-31,1900,5,31,6055,Napa County,CA,38.5,-122.49999999965232,27.5859,10.8456
1900-06-01,1900,6,1,6055,Napa County,CA,38.5,-122.49999999965232,27.7437,10.9288
1900-06-02,1900,6,2,6055,Napa County,CA,38.5,-122.49999999965232,27.9,11.0095
1900-06-03,1900,6,3,6055,Napa County,CA,38.5,-122.49999999965232,28.055,11.0878
1900-06-04,1900,6,4,6055,Napa County,CA,38.5,-122.49999999965232,28.2089,11.1637
1900-06-05,1900,6,5,6055,Napa County,CA,38.5,-122.49999999965232,28.3616,11.2373
1900-06-06,1900,6,6,6055,Napa County,CA,38.5,-122.49999999965232,28.5135,11.3085
